Date,India,Japan,Korea,Taiwan,NASDAQ,SOX,SP500,DJI,USD,US10YY,oil,gold,SHI,SHE
2011/1/4,20498.7207,10398.09961,2085.139893,8997.157227,2681.25,415.3789978,1270.199951,11691.17969,79.44000244,3.338,91.48,1380.6,2852.647949,12714.36719
2011/1/5,20301.09961,10380.76953,2082.550049,8846.277344,2702.199951,416.8882751,1276.560059,11722.88965,80.26000214,3.463,92.825,1377.48,2839.220947,12647.48828
2011/1/6,20184.74023,10529.75977,2077.610107,8883.176758,2709.889893,424.5645447,1273.849976,11697.30957,80.79000092,3.399,92.08,1371.4,2824.197021,12599.51855
2011/1/7,19691.81055,10541.04004,2086.199951,8782.6875,2703.169922,425.5541077,1271.5,11674.75977,81.01000214,3.328,90.88,1369.6,2838.801025,12573.79883
2011/1/11,19196.33984,10510.67969,2088.320068,8931.327148,2716.830078,431.3112793,1274.47998,11671.87988,80.84999847,3.34,94.195,1382.45,2804.047119,12385.03125
2011/1/12,19534.09961,10512.7998,2094.949951,8964.966797,2737.330078,439.7972107,1285.959961,11755.44043,80.02999878,3.367,94.865,1386.5,2821.304932,12409.8418
2011/1/14,18860.43945,10499.04004,2108.169922,8972.476563,2755.300049,451.371582,1293.23999,11787.37988,79.16000366,3.331,94.99,1361.85,2791.343994,12294.03125
2011/1/19,18978.32031,10557.09961,2115.689941,9085.985352,2725.360107,439.1175232,1281.920044,11825.29004,78.63999939,3.337,94.5,1370.2,2758.096924,12066.41406
2011/1/20,19046.53906,10437.30957,2106.659912,9022.136719,2704.290039,434.5597229,1280.26001,11822.7998,78.81999969,3.451,92.52,1345.85,2677.6521,11566.61035
2011/1/21,19007.5293,10274.51953,2069.919922,8954.34668,2689.540039,431.4412231,1283.349976,11871.83984,78.20999908,3.408,92.83,1342.51,2715.293945,11639.8291
2011/1/24,19151.2793,10345.11035,2082.159912,8947.756836,2717.550049,442.2060547,1290.839966,11980.51953,78.05000305,3.406,92.015,1334.7,2695.718994,11488.79102
2011/1/25,18969.44922,10464.41992,2086.669922,8991.356445,2719.25,438.9076233,1291.180054,11977.19043,78,3.33,90.29,1333.75,2677.431885,11446.24219
2011/1/27,18684.42969,10478.66016,2115.01001,9102.295898,2755.280029,451.0617371,1299.540039,11989.83008,77.73000336,3.389,91.32,1311.49,2749.149902,11795.19727
2011/1/28,18395.9707,10360.33984,2107.870117,9145.31543,2686.889893,438.3978577,1276.339966,11823.7002,78.12999725,3.329,93.85,1335.35,2752.75,11894.09668
2011/2/9,17592.76953,10617.83008,2045.579956,9006.787109,2789.070068,457.3786926,1320.880005,12239.88965,77.63999939,3.652,93.895,1362.95,2774.064941,11807.79688
2011/2/10,17463.03906,10605.65039,2008.5,8836.527344,2790.449951,459.0278931,1321.869995,12229.29004,78.25,3.702,93.785,1362.01,2818.163086,12170.37305
2011/2/15,18273.80078,10746.66992,2010.52002,8721.897461,2804.350098,461.1568604,1328.01001,12226.63965,78.56999969,3.604,93.215,1373.4,2899.237061,12711.4375
2011/2/16,18300.90039,10808.29004,1989.109985,8712.927734,2825.560059,466.3343506,1336.319946,12288.16992,78.22000122,3.623,94.115,1375.11,2923.895996,12884.72559
2011/2/17,18506.82031,10836.63965,1977.219971,8683.847656,2831.580078,472.9911499,1340.430054,12318.13965,78,3.576,94.69,1383.67,2926.964111,12788.19629
2011/2/18,18211.51953,10842.7998,2013.140015,8843.807617,2833.949951,471.2319641,1343.01001,12391.25,77.66000366,3.582,94.235,1387.3,2899.791992,12612.96875
2011/2/22,18296.16016,10664.7002,1969.920044,8673.637695,2756.419922,452.5910034,1315.439941,12212.79004,77.76999664,3.459,100.055,1398.15,2855.516113,12473.19043
2011/2/23,18178.33008,10579.09961,1961.630005,8528.908203,2722.98999,444.0551147,1307.400024,12105.78027,77.41000366,3.483,104.005,1410.45,2862.63501,12492.57031
2011/2/24,17632.41016,10452.70996,1949.880005,8541.607422,2737.899902,451.681427,1306.099976,12068.5,77.05999756,3.45,104.385,1400.25,2878.603027,12578.28809
2011/2/25,17700.91016,10526.75977,1963.430054,8599.618164,2781.050049,463.4657593,1319.880005,12130.4502,77.27999878,3.416,104.685,1409.25,2878.564941,12633.73828
2011/3/3,18489.75977,10586.01953,1970.660034,8738.337891,2798.73999,464.5451965,1330.969971,12258.2002,76.48000336,3.559,108.255,1416.4,2902.978027,12698.01758
2011/3/4,18486.44922,10693.66016,2004.680054,8784.368164,2784.669922,459.5976257,1321.150024,12169.87988,76.40000153,3.492,110.105,1429.3,2942.305908,12893.69531
2011/3/7,18222.66992,10505.01953,1980.27002,8713.757813,2745.629883,447.133667,1310.130005,12090.03027,76.5,3.516,110.545,1433.17,2996.210938,13140.73242
2011/3/8,18439.65039,10525.19043,1996.319946,8747.717773,2765.77002,447.7233582,1321.819946,12214.37988,76.80000305,3.551,108.995,1428.89,2999.941895,13144.03223
2011/3/9,18469.94922,10589.5,2001.469971,8749.987305,2751.719971,434.1399536,1320.02002,12213.08984,76.72000122,3.469,109.925,1429.5,3002.154053,13158.07227
2011/3/10,18327.98047,10434.37988,1981.579956,8642.868164,2701.02002,423.5250854,1295.109985,11984.61035,77.27999878,3.362,108.68,1413.45,2957.143066,13004.71484
2011/3/11,18174.08984,10254.42969,1955.540039,8567.788086,2715.610107,427.703064,1304.280029,12044.40039,76.77999878,3.402,107.43,1417.4,2933.795898,12847.875
2011/3/15,18167.64063,8605.150391,1923.920044,8234.748047,2667.330078,421.5860291,1281.869995,11855.41992,76.33000183,3.307,103.61,1395.95,2896.256104,12705.17773
2011/3/16,18358.68945,9093.719727,1957.969971,8324.547852,2616.820068,412.2405396,1256.880005,11613.2998,76.68000031,3.192,104.455,1401.3,2930.803955,12865.60547
2011/3/17,18149.86914,8962.669922,1959.030029,8282.658203,2636.050049,417.7678528,1273.719971,11774.58984,76.04000092,3.257,107.97,1404.4,2897.298096,12650.52832
2011/3/18,17878.81055,9206.75,1981.130005,8394.717773,2643.669922,418.9972839,1279.209961,11858.51953,75.72000122,3.268,107.6,1419.55,2906.88501,12721.84766
2011/3/23,18206.16016,9449.469727,2012.180054,8545.047852,2698.300049,426.7335205,1297.540039,12086.01953,75.79000092,3.354,110.525,1438.2,2948.477051,12845.38574
2011/3/24,18350.74023,9435.009766,2036.780029,8576.368164,2736.419922,437.1984558,1309.660034,12170.55957,75.66000366,3.407,110.39,1431.1,2946.706055,12771.31738
2011/3/25,18815.64063,9536.129883,2054.040039,8610.357422,2743.060059,436.0589905,1313.800049,12220.58984,76.22000122,3.442,110.435,1429.65,2977.813965,12941.92578
2011/3/28,18943.14063,9478.530273,2056.389893,8553.027344,2730.679932,436.5387878,1310.189941,12197.87988,76.12999725,3.441,109.775,1420.65,2984.004883,12875.375
2011/3/29,19120.80078,9459.080078,2072.129883,8596.538086,2756.889893,440.8267212,1319.439941,12279.00977,76.25,3.491,109.905,1418.8,2958.076904,12677.46875
2011/3/30,19290.17969,9708.790039,2091.379883,8646.277344,2776.790039,441.1665344,1328.26001,12350.61035,76.12000275,3.444,109.695,1423.88,2955.770996,12661.07813
2011/3/31,19445.2207,9755.099609,2106.699951,8683.267578,2781.070068,437.148468,1325.829956,12319.73047,75.86000061,3.47,111.94,1432,2928.111084,12562.75879
2011/4/1,19420.39063,9708.389648,2121.01001,8705.097656,2789.600098,432.6406555,1332.410034,12376.71973,75.83000183,3.45,113.32,1428.38,2967.409912,12699.27734
