Date,Quantity ,Monetary,Amount,Index,Updown
 2016/01/04,3828317506 ,77036676791 ,823702 ,8114.26 ,-223.80 
 2016/01/05,4174711678 ,80349248930 ,835646 ,8075.11 ,-39.15 
 2016/01/06,4862380750 ,99143623931 ,944604 ,7990.39 ,-84.72 
 2016/01/07,5920713736 ,118000000000 ,1151598 ,7852.06 ,-138.33 
 2016/01/08,4534181205 ,92853774729 ,859799 ,7893.97 ,41.91 
 2016/01/11,4324346686 ,85321943005 ,864273 ,7788.42 ,-105.55 
 2016/01/12,4774778088 ,86552474918 ,878969 ,7768.45 ,-19.97 
 2016/01/13,4191855350 ,76588652185 ,785161 ,7824.61 ,56.16 
 2016/01/14,4276900082 ,81779081768 ,843642 ,7742.88 ,-81.73 
 2016/01/15,4228452132 ,90430983043 ,834866 ,7762.01 ,19.13 
 2016/01/18,4556531786 ,81693572616 ,899532 ,7811.18 ,49.17 
 2016/01/19,4401843015 ,74328444326 ,777581 ,7854.88 ,43.70 
 2016/01/20,4995793415 ,89909264962 ,934145 ,7699.12 ,-155.76 
 2016/01/21,4228018052 ,73757813283 ,766878 ,7664.01 ,-35.11 
 2016/01/22,3770515717 ,69411719214 ,735234 ,7756.18 ,92.17 
 2016/01/25,3916387295 ,69661237574 ,721242 ,7894.15 ,137.97 
 2016/01/26,3725690246 ,62349440613 ,663929 ,7828.67 ,-65.48 
 2016/01/27,3921538073 ,70341506723 ,704137 ,7849.83 ,21.16 
 2016/01/28,4225736859 ,79651114076 ,757225 ,7905.10 ,55.27 
 2016/01/29,5887199015 ,113000000000 ,991000 ,8080.60 ,175.50 
 2016/01/30,4060926553 ,62496769696 ,667653 ,8145.21 ,64.61 
 2016/02/01,4146109539 ,84881639979 ,810788 ,8156.96 ,11.75 
 2016/02/02,3578769995 ,73811790035 ,762146 ,8131.24 ,-25.72 
 2016/02/03,3340620656 ,78552943082 ,756916 ,8063.00 ,-68.24 
 2016/02/15,3701233391 ,89049265308 ,835099 ,8066.51 ,3.51 
 2016/02/16,4888935526 ,92274426133 ,895472 ,8212.07 ,145.56 
 2016/02/17,4533522300 ,84973308024 ,877108 ,8214.25 ,2.18 
 2016/02/18,4700434888 ,96306906424 ,908282 ,8314.67 ,100.42 
 2016/02/19,3786260216 ,76763583732 ,796911 ,8325.04 ,10.37 
 2016/02/22,4117476850 ,76666061454 ,788522 ,8326.68 ,1.64 
 2016/02/23,4282835270 ,79158782479 ,834103 ,8334.64 ,7.96 
 2016/02/24,4172001674 ,72921321301 ,818928 ,8282.86 ,-51.78 
 2016/02/25,4825333703 ,85369873858 ,893624 ,8365.86 ,83.00 
 2016/02/26,4192508108 ,84825115511 ,814436 ,8411.16 ,45.30 
2016/3/1,4344172230 ,93076019508 ,914162 ,8485.69 ,74.53 
2016/3/2,5383933146 ,102000000000 ,1022407 ,8544.05 ,58.36 
2016/3/3,5585659656 ,101000000000 ,1058220 ,8611.79 ,67.74 
2016/3/4,4963184767 ,95177431173 ,1002782 ,8643.55 ,31.76 
2016/3/7,4985069930 ,97317441753 ,1044138 ,8659.55 ,16.00 
2016/3/8,5752490488 ,107000000000 ,1118305 ,8664.31 ,4.76 
2016/3/9,4873667413 ,87722074364 ,924681 ,8634.11 ,-30.20 
2016/3/10,4847234890 ,86979509559 ,912645 ,8660.70 ,26.59 
2016/3/11,4696453516 ,89618730648 ,932516 ,8706.14 ,45.44 
2016/3/14,4958111936 ,101000000000 ,1001609 ,8747.90 ,41.76 
2016/3/15,5749788495 ,117000000000 ,1152022 ,8611.18 ,-136.72 
2016/3/16,4940468348 ,95303426426 ,931278 ,8699.14 ,87.96 
2016/3/17,5640225790 ,110000000000 ,1069422 ,8734.54 ,35.40 
2016/3/18,5058056953 ,118000000000 ,980140 ,8810.71 ,76.17 
2016/3/21,4189171268 ,83602377454 ,828164 ,8812.70 ,1.99 
2016/3/22,4537521519 ,87909107741 ,896141 ,8785.68 ,-27.02 
2016/3/23,4146764067 ,83001864735 ,841520 ,8766.09 ,-19.59 
2016/3/24,4332890552 ,81028032418 ,828433 ,8743.38 ,-22.71 
2016/3/25,3480063136 ,66971897265 ,668084 ,8704.97 ,-38.41 
2016/3/28,3632554168 ,69405830918 ,707968 ,8690.45 ,-14.52 
2016/3/29,4336733399 ,80354222855 ,863621 ,8617.35 ,-73.10 
2016/3/30,4449258360 ,89188136871 ,850273 ,8737.04 ,119.69 
2016/3/31,4483580039 ,96143315403 ,841211 ,8744.83 ,7.79 
2016/4/1,3512441617 ,74436466179 ,734759 ,8657.55 ,-87.28 
2016/4/6,4263805995 ,99649801435 ,948232 ,8513.30 ,-144.25 
2016/4/7,4325190072 ,85012242354 ,837480 ,8490.25 ,-23.05 
2016/4/8,4047158746 ,78914261945 ,783411 ,8541.50 ,51.25 
2016/4/11,3619493831 ,68897768432 ,705570 ,8562.59 ,21.09 
2016/4/12,4271104168 ,83753452252 ,844879 ,8531.18 ,-31.41 
2016/4/13,4800753162 ,92382932263 ,855055 ,8652.08 ,120.90 
2016/4/14,4320339298 ,82203414897 ,787098 ,8667.71 ,15.63 
2016/4/15,3728792198 ,79717512268 ,755854 ,8700.39 ,32.68 
2016/4/18,3363499191 ,65051346748 ,665225 ,8666.01 ,-34.38 
2016/4/19,4134113610 ,81358438759 ,767518 ,8633.72 ,-32.29 
