Date,Quantity,Monetary,Amount,Index,Updown
 105/01/04,3828317506,77036676791,823702,8114.26,-223.8
 105/01/05,4174711678,80349248930,835646,8075.11,-39.15
 105/01/06,4862380750,99143623931,944604,7990.39,-84.72
 105/01/07,5920713736,1.17577E+11,1151598,7852.06,-138.33
 105/01/08,4534181205,92853774729,859799,7893.97,41.91
 105/01/11,4324346686,85321943005,864273,7788.42,-105.55
 105/01/12,4774778088,86552474918,878969,7768.45,-19.97
 105/01/13,4191855350,76588652185,785161,7824.61,56.16
 105/01/14,4276900082,81779081768,843642,7742.88,-81.73
 105/01/15,4228452132,90430983043,834866,7762.01,19.13
 105/01/18,4556531786,81693572616,899532,7811.18,49.17
 105/01/19,4401843015,74328444326,777581,7854.88,43.7
 105/01/20,4995793415,89909264962,934145,7699.12,-155.76
 105/01/21,4228018052,73757813283,766878,7664.01,-35.11
 105/01/22,3770515717,69411719214,735234,7756.18,92.17
 105/01/25,3916387295,69661237574,721242,7894.15,137.97
 105/01/26,3725690246,62349440613,663929,7828.67,-65.48
 105/01/27,3921538073,70341506723,704137,7849.83,21.16
 105/01/28,4225736859,79651114076,757225,7905.1,55.27
 105/01/29,5887199015,1.13464E+11,991000,8080.6,175.5
 105/01/30,4060926553,62496769696,667653,8145.21,64.61
 105/02/01,4146109539,84881639979,810788,8156.96,11.75
 105/02/02,3578769995,73811790035,762146,8131.24,-25.72
 105/02/03,3340620656,78552943082,756916,8063,-68.24
 105/02/15,3701233391,89049265308,835099,8066.51,3.51
 105/02/16,4888935526,92274426133,895472,8212.07,145.56
 105/02/17,4533522300,84973308024,877108,8214.25,2.18
 105/02/18,4700434888,96306906424,908282,8314.67,100.42
 105/02/19,3786260216,76763583732,796911,8325.04,10.37
 105/02/22,4117476850,76666061454,788522,8326.68,1.64
 105/02/23,4282835270,79158782479,834103,8334.64,7.96
 105/02/24,4172001674,72921321301,818928,8282.86,-51.78
 105/02/25,4825333703,85369873858,893624,8365.86,83
 105/02/26,4192508108,84825115511,814436,8411.16,45.3
105/03/01,4344172230,93076019508,914162,8485.69,74.53
105/03/02,5383933146,1.01504E+11,1022407,8544.05,58.36
105/03/03,5585659656,1.01457E+11,1058220,8611.79,67.74
105/03/04,4963184767,95177431173,1002782,8643.55,31.76
105/03/07,4985069930,97317441753,1044138,8659.55,16
105/03/08,5752490488,1.07338E+11,1118305,8664.31,4.76
